RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
887896,201375544,1316,4,THREATS-OTHER,1300,THREATS,03/05/2013 02:42:00 PM,03/05/2013 02:42:00 PM,,38XX BLOCK OF S ANGELINE ST,R,R3,10300.5001,-122.284202576,47.559459686,"(47.559459686, -122.284202576)",3,2013
1032727,2016324385,X,47,PROPERTY FOUND,X,STOLEN PROPERTY,09/07/2016 10:33:00 AM,09/07/2016 06:30:00 AM,,43XX BLOCK OF NE 55 ST,U,U3,4200.2016,-122.280799866,47.66878891,"(47.66878891, -122.280799866)",9,2016
1032728,2016326449,2902,0,PROPERTY DAMAGE-RESIDENTIAL,2900,PROPERTY DAMAGE,09/08/2016 10:05:00 PM,09/08/2016 10:05:00 PM,09/08/2016 10:05:00 PM,30XX BLOCK OF NE 140 ST,L,L1,100.4002,-122.295143127,47.730140686,"(47.730140686, -122.295143127)",9,2016
887897,201375913,X,21,DISTURBANCE-OTH,X,DISTURBANCE,03/05/2013 09:02:00 PM,03/05/2013 08:36:00 PM,,6XX BLOCK OF S DEARBORN ST,K,K3,9100.2012,-122.324417114,47.595832825,"(47.595832825, -122.324417114)",3,2013
1032730,2016324839,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,09/07/2016 03:51:00 PM,08/31/2016 12:00:00 PM,08/31/2016 03:00:00 PM,21XX BLOCK OF N 120 ST,N,N2,600.4000,-122.33278656,47.715919495,"(47.715919495, -122.33278656)",9,2016
1032731,2016324778,2308,0,THEFT-BUILDING,2300,OTHER PROPERTY,09/07/2016 03:43:00 PM,09/07/2016 03:00:00 PM,,6XX BLOCK OF S JACKSON ST,K,K3,9200.1010,-122.324401855,47.599189758,"(47.599189758, -122.324401855)",9,2016
1032497,2016282242,2305,0,THEFT-CARPROWL,2300,CAR PROWL,08/05/2016 09:23:00 PM,08/05/2016 04:11:00 PM,08/05/2016 06:30:00 PM,4XX BLOCK OF MERCER ST,Q,Q3,7200.1015,-122.348220825,47.62456131,"(47.62456131, -122.348220825)",8,2016
1032498,2016281111,2902,0,PROPERTY DAMAGE-RESIDENTIAL,2900,PROPERTY DAMAGE,08/05/2016 12:21:00 AM,08/05/2016 12:21:00 AM,,47XX BLOCK OF 44 AV NE,U,U3,4100.4009,-122.280479431,47.663993835,"(47.663993835, -122.280479431)",8,2016
1032499,2016314449,2299,2,BURGLARY-SECURE PARKING-RES,2299,BURGLARY-SECURE PARKING-RES,08/30/2016 02:26:00 PM,08/25/2016 12:00:00 PM,,9XX BLOCK OF DEXTER AV N,D,D2,6700.1004,-122.342315674,47.628429413,"(47.628429413, -122.342315674)",8,2016
1032500,2016314762,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,08/30/2016 07:30:00 PM,08/30/2016 07:30:00 PM,,62XX BLOCK OF ROOSEVELT WY NE,U,U1,4400.2011,-122.317359924,47.673744202,"(47.673744202, -122.317359924)",8,2016
887898,201375302,5016,1,VIOL-COURT ORDER,5000,VIOLATION OF COURT ORDER,03/05/2013 11:31:00 AM,03/05/2013 11:31:00 AM,,3XX BLOCK OF 4 AV S,K,K3,9200.1015,-122.328964233,47.599617004,"(47.599617004, -122.328964233)",3,2013
